n.convolution; d.Gy; dd.Gy; f
0; 2.419276e-02; 1.677250e-03; 9.517979e-05
0; 2.592916e-02; 1.797632e-03; 8.298326e-05
0; 2.779018e-02; 1.926654e-03; 7.234582e-05
0; 2.978478e-02; 2.064937e-03; 6.306877e-05
0; 3.192254e-02; 2.213145e-03; 5.497866e-05
0; 3.421373e-02; 2.371990e-03; 4.792405e-05
0; 3.666936e-02; 2.542236e-03; 4.177275e-05
0; 3.930125e-02; 2.724701e-03; 3.640941e-05
0; 4.212204e-02; 2.920262e-03; 3.173334e-05
0; 4.514528e-02; 3.129859e-03; 2.765669e-05
0; 4.838552e-02; 3.354500e-03; 2.410280e-05
0; 5.185831e-02; 3.595264e-03; 2.100485e-05
0; 5.558036e-02; 3.853308e-03; 1.830426e-05
0; 5.956956e-02; 4.129874e-03; 1.595046e-05
0; 6.384507e-02; 4.426289e-03; 1.389883e-05
0; 6.842745e-02; 4.743979e-03; 1.211069e-05
0; 7.333873e-02; 5.084471e-03; 1.055227e-05
0; 7.860250e-02; 5.449401e-03; 9.194103e-06
0; 8.424408e-02; 5.840523e-03; 8.010511e-06
0; 9.029057e-02; 6.259718e-03; 6.979089e-06
0; 9.677103e-02; 6.709000e-03; 6.080305e-06
0; 1.037166e-01; 7.190528e-03; 5.297128e-06
0; 1.111607e-01; 7.706617e-03; 4.614710e-06
0; 1.191391e-01; 8.259748e-03; 4.020108e-06
0; 1.276901e-01; 8.852578e-03; 3.502037e-06
0; 1.368549e-01; 9.487958e-03; 3.050660e-06
0; 1.466775e-01; 1.016894e-02; 2.657402e-06
0; 1.572050e-01; 1.089880e-02; 2.314789e-06
0; 1.684882e-01; 1.168105e-02; 2.016306e-06
0; 1.805811e-01; 1.251944e-02; 1.756277e-06
0; 1.935421e-01; 1.341800e-02; 1.529752e-06
0; 2.074332e-01; 1.438106e-02; 1.332430e-06
0; 2.223215e-01; 1.541323e-02; 1.160497e-06
0; 2.382782e-01; 1.651950e-02; 1.010798e-06
0; 2.553803e-01; 1.770516e-02; 8.803506e-07
0; 2.737098e-01; 1.897592e-02; 7.667367e-07
0; 2.933549e-01; 2.033788e-02; 6.677748e-07
0; 3.144100e-01; 2.179760e-02; 5.815770e-07
0; 3.369763e-01; 2.336209e-02; 5.064985e-07
0; 3.611623e-01; 2.503887e-02; 4.411061e-07
0; 3.870841e-01; 2.683600e-02; 3.841512e-07
0; 4.148665e-01; 2.876211e-02; 3.345457e-07
0; 4.446429e-01; 3.082647e-02; 2.913422e-07
0; 4.765565e-01; 3.303899e-02; 2.537149e-07
0; 5.107606e-01; 3.541031e-02; 2.209446e-07
0; 5.474196e-01; 3.795183e-02; 1.924049e-07
0; 5.867098e-01; 4.067577e-02; 1.675499e-07
0; 6.288200e-01; 4.359521e-02; 1.459041e-07
0; 6.739526e-01; 4.672419e-02; 1.270534e-07
0; 7.223245e-01; 5.007774e-02; 1.106371e-07
0; 7.741683e-01; 5.367200e-02; 9.634100e-08
0; 8.297330e-01; 5.752422e-02; 8.389241e-08
0; 8.892858e-01; 6.165294e-02; 7.304841e-08
0; 9.531129e-01; 6.607798e-02; 6.360968e-08
0; 1.021521e+00; 7.082063e-02; 5.538783e-08
0; 1.094839e+00; 7.590367e-02; 4.822877e-08
0; 1.173420e+00; 8.135154e-02; 4.199472e-08
0; 1.257640e+00; 8.719042e-02; 3.656620e-08
0; 1.347905e+00; 9.344838e-02; 3.183919e-08
0; 1.444649e+00; 1.001555e-01; 2.772306e-08
0; 1.548337e+00; 1.073440e-01; 2.413889e-08
0; 1.659466e+00; 1.150484e-01; 2.101797e-08
0; 1.778572e+00; 1.233059e-01; 1.830043e-08
0; 1.906226e+00; 1.321560e-01; 1.593417e-08
0; 2.043042e+00; 1.416413e-01; 1.387378e-08
0; 2.189679e+00; 1.518073e-01; 1.207975e-08
0; 2.346839e+00; 1.627031e-01; 1.051765e-08
0; 2.515280e+00; 1.743808e-01; 1.814009e-09
0; 2.695810e+00; 1.868968e-01; 0.000000e+00
0; 2.889298e+00; 2.003110e-01; 0.000000e+00
